EventId,EventTemplate
E1,"<*> <*> <*>:<*> <*> <*> WEBSITE.GET.OBJECT <*> GET,/<*> <*> <*> <*> <*> <*> <*> <*> Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 <*> <*> <*> <*> <*> <*> <*> <*> <*>"
E2,"<*> <*> <*>:<*> arn:aws:iam::<*> <*> REST.GET.LOGGING_STATUS <*> GET,/<*> <*> <*> <*> <*> <*> <*> <*> S3Console/0.4,cfg/retry<*>mode/legacy <*> <*> <*> <*> AuthHeader s3.amazon.com <*> <*> <*>"
E3,"<*> <*> <*>:<*> arn:aws:iam::<*> <*> REST.GET.POLICY_STATUS <*> GET,/?<*> <*> <*> <*> <*> <*> <*> <*> S3Console/0.4,cfg/retry<*>mode/legacy <*> <*> <*> <*> AuthHeader s3.amazon.com <*> <*> <*>"
E4,"<*> <*> <*>:<*> arn:aws:iam::<*> <*> REST.GET.ACL <*> GET,/?<*> <*> <*> <*> <*> <*> <*> <*> S3Console/0.4,cfg/retry<*>mode/legacy <*> <*> <*> <*> AuthHeader s3.amazon.com <*> <*> <*>"
E5,"<*> <*> <*>:<*> arn:aws:iam::<*> <*> REST.GET.PUBLIC_ACCESS_BLOCK <*> GET,/?<*> <*> <*> <*> <*> <*> <*> <*> S3Console/0.4,cfg/retry<*>mode/legacy <*> <*> <*> <*> AuthHeader s3.amazon.com <*> <*> <*>"
E6,"<*> <*> <*>:<*> arn:aws:iam::<*> <*> REST.HEAD.BUCKET <*> HEAD,/<*> <*> <*> <*> <*> <*> <*> <*> S3Console/0.4,cfg/retry<*>mode/legacy <*> <*> <*> <*> AuthHeader s3.amazon.com <*> <*> <*>"
E7,"<*> <*> <*>:<*> arn:aws:iam::<*> <*> REST.GET.ENCRYPTION <*> GET,/<*> <*> <*> <*> <*> <*> <*> <*> S3Console/0.4,cfg/retry<*>mode/legacy <*> <*> <*> <*> AuthHeader s3.amazon.com <*> <*> <*>"
E8,"<*> <*> <*>:<*> arn:aws:iam::<*> <*> REST.GET.VERSIONING <*> GET,/<*> <*> <*> <*> <*> <*> <*> <*> S3Console/0.4,cfg/retry<*>mode/legacy <*> <*> <*> <*> AuthHeader s3.amazon.com <*> <*> <*>"
E9,"<*> <*> <*>:<*> arn:aws:iam::<*> <*> REST.GET.WEBSITE <*> GET,/<*> <*> <*> <*> <*> <*> <*> <*> S3Console/0.4,cfg/retry<*>mode/legacy <*> <*> <*> <*> AuthHeader s3.amazon.com <*> <*> <*>"
E10,"<*> <*> <*>:<*> arn:aws:iam::<*> <*> REST.GET.TAGGING <*> GET,/<*> <*> NoSuchTagSet <*> <*> <*> <*> <*> S3Console/0.4,cfg/retry<*>mode/legacy <*> <*> <*> <*> AuthHeader s3.amazon.com <*> <*> <*>"
